Pattern	Freq	Wrong	Accuracy
message <contact_name>	22	12	0.45454545454545453
message <contact_name> <message>	16	11	0.3125
message <message>	13	8	0.38461538461538464
send a message to <contact_name>	12	12	0.0
say <message> to <contact_name>	11	11	0.0
cortana send a message to <contact_name>	10	3	0.7
cortana send message to <contact_name> <message>	10	4	0.6
hey cortana message my <order_ref> meeting that <message>	10	0	1.0
message to <contact_name>	10	4	0.6
send a message to <contact_name> <message>	9	5	0.4444444444444444
hey cortana message my meeting that <message>	8	1	0.875
send a message <message>	8	4	0.5
cortana tell <contact_name> <message>	7	1	0.8571428571428571
hey cortana, send a message to <contact_name> <message>	7	1	0.8571428571428571
message my <time> meeting. <message>	7	1	0.8571428571428571
message. my <order_ref> meeting that <message>	7	0	1.0
ask <contact_name> <message>	6	3	0.5
can you send <contact_name> a message	6	0	1.0
can you tell my <relationship_name> to <message>	6	2	0.6666666666666666
cortana message <contact_name>	6	1	0.8333333333333334
cortana send message to <contact_name>	6	1	0.8333333333333334
cortana text <contact_name>	6	1	0.8333333333333334
hey cortana message <contact_name> that <message>	6	0	1.0
hey cortana message <contact_name>	6	1	0.8333333333333334
hey cortana message my <time> meeting that <message>	6	0	1.0
hey cortana send a message to <contact_name>	6	2	0.6666666666666666
hey cortana send <contact_name> a message	6	1	0.8333333333333334
hey cortana send message to <contact_name>	6	1	0.8333333333333334
hey cortana, send a message to <contact_name>	6	1	0.8333333333333334
hey cortana. send message to <meeting_title> meeting	6	3	0.5
message everyone on my <order_ref> meeting that <message>	6	0	1.0
message my meeting that <message>	6	0	1.0
message the meeting that <message>	6	0	1.0
message. <contact_name> <message>	6	1	0.8333333333333334
message. my <order_ref> meeting <message>	6	1	0.8333333333333334
reply to <contact_name>	6	1	0.8333333333333334
send a message <contact_name>	6	1	0.8333333333333334
send a message on <source_platform>	6	0	1.0
<contact_name> message	5	2	0.6
a message to <contact_name>	5	0	1.0
can you send a message to <contact_name>	5	0	1.0
can you send message on <source_platform>	5	1	0.8
