Pattern	Freq	Wrong	Accuracy
can you text <contact_name>	5	0	1.0
cortana cortana send message to <contact_name>	5	0	1.0
cortana message <contact_name> <message>	5	1	0.8
cortana send a message to <contact_name> that <message>	5	0	1.0
cortana send a message to <contact_name> <message>	5	0	1.0
cortana send a text to <contact_name>	5	0	1.0
cortana send <contact_name> message	5	0	1.0
cortana send <contact_name> a message	5	0	1.0
cortana send message to <contact_name> that <message>	5	0	1.0
cortana text <contact_name> <message>	5	0	1.0
hey cortana message my <time> o&apos;clock meeting that <message>	5	0	1.0
hey cortana text <contact_name>	5	0	1.0
hey cortana, send a message to <contact_name> that <message>	5	0	1.0
hey cortana, send a message to my <time> meeting	5	0	1.0
hey cortana, send message to <contact_name>	5	0	1.0
hey cortana. send message to <contact_name>	5	0	1.0
hey cortana. send message to <contact_name> <message>	5	1	0.8
hey cortana. send message to <contact_name> that <message>	5	0	1.0
message <contact_name> &apos;s	5	0	1.0
message <relationship_name>	5	3	0.4
message <contact_name> message	5	0	1.0
message <contact_name> on	5	0	1.0
message everyone on my <order_ref> meeting <message>	5	0	1.0
message everyone on my <order_ref> meeting. <message>	5	0	1.0
message for <contact_name>	5	0	1.0
message <contact_name> that <message>	5	0	1.0
message my <time> meeting that <message>	5	0	1.0
message my <time> meeting	5	0	1.0
message my <order_ref> meeting <message>	5	0	1.0
message my <order_ref> meeting that <message>	5	0	1.0
message. <contact_name> that <message>	5	0	1.0
message. my meeting that <message>	5	0	1.0
pii:scrubbed:[latency:2]:send a message to <contact_name> that <message>	5	0	1.0
pii:scrubbed:[latency:2]:text <contact_name> <message>	5	5	0.0
please send a message to <contact_name>	5	0	1.0
send a message for <contact_name>	5	0	1.0
send a message to <phone_number>	5	0	1.0
can you send a text to <contact_name>	4	0	1.0
can you text <contact_name> <message>	4	1	0.75
cortana can you send a message to <contact_name>	4	0	1.0
cortana please send a message to <contact_name>	4	0	1.0
cortana say <message> to <contact_name>	4	3	0.25
could you send a message to <contact_name>	4	0	1.0
hey cortana message <meeting_title> meeting	4	0	1.0
hey cortana message to <contact_name>	4	0	1.0
hey cortana send <contact_name> message	4	0	1.0
hey cortana, send a message to my <order_ref> meeting. <message>	4	0	1.0
hey+cortana send a message to <contact_name>	4	0	1.0
message <contact_name> that	4	0	1.0
message everyone on my <time> meeting	4	0	1.0
message everyone on my <time> meeting that <message>	4	0	1.0
message everyone on my <order_ref> meeting, <message>	4	0	1.0
message my <order_ref> meeting, <message>	4	0	1.0
message to <contact_name> <message>	4	1	0.75
message. my <time> meeting that <message>	4	0	1.0
pii:scrubbed:[latency:1]:text <contact_name> <message>	4	4	0.0
please text <contact_name>	4	1	0.75
can you message <contact_name>	3	0	1.0
can you send a message in <source_platform>	3	1	0.6666666666666666
can you send a text message to <contact_name>	3	0	1.0
can you text <contact_name> please	3	0	1.0
cortana text to <contact_name>	3	0	1.0
cortana, would you please tell <contact_name> that <message>	3	0	1.0
could you text my <relationship_name>	3	0	1.0
hey cortana message <contact_name> on my <order_ref> meeting. <message>	3	2	0.3333333333333333
hey cortana message my <time> meeting	3	0	1.0
hey cortana message my <order_ref> meeting. <message>	3	0	1.0
hey cortana, send a message to <contact_name> saying <message>	3	0	1.0
hey cortana, send a message to <message>	3	2	0.3333333333333333
hey cortana, send a message to <meeting_title> meeting	3	1	0.6666666666666666
hey cortana, send message to my <time> o&apos;clock meeting	3	0	1.0
hey cortana, tell my <order_ref> meeting that <message>	3	0	1.0
hey cortana. hey cortana. send a message to <contact_name>	3	0	1.0
hey cortana. send a message to <contact_name>	3	0	1.0
hi cortana send a message to <contact_name>	3	0	1.0
hi cortana send <contact_name> a message	3	0	1.0
hi cortana send message to <contact_name>	3	0	1.0
hi cortana text <contact_name>	3	0	1.0
let my <order_ref> meeting know that <message>	3	0	1.0
message <contact_name> on my <order_ref> meeting. <message>	3	1	0.6666666666666666
message <contact_name> saying <message>	3	0	1.0
message <contact_name> and tell him <message>	3	0	1.0
message <contact_name> on <source_platform>	3	2	0.3333333333333333
message by <time> o&apos;clock meeting	3	0	1.0
message <contact_name> message <contact_name>	3	0	1.0
message everyone on <meeting_title> meeting. <message>	3	0	1.0
message everyone on the <order_ref> meeting. <message>	3	0	1.0
message <meeting_title> meeting that <message>	3	0	1.0
message <relationship_name> <message>	3	1	0.6666666666666666
message my <time> o&apos;clock meeting that <message>	3	0	1.0
message my <time> o'clock meeting that <message>	3	0	1.0
message <meeting_title> meeting	3	0	1.0
message my <order_ref> meeting that	3	0	1.0
message my meeting with <contact_name> that <message>	3	0	1.0
message my <order_ref> meeting. <message>	3	0	1.0
message to my <order_ref> meeting that <message>	3	0	1.0
message with <contact_name>	3	0	1.0
my <time> meeting that <message>	3	3	0.0
ok text <contact_name>	3	0	1.0
pii:scrubbed:[latency:1]:message my <time> meeting that <message>	3	3	0.0
please tell my <relationship_name> <message>	3	0	1.0
send <contact_name> a message	3	2	0.3333333333333333
send a <contact_name> a message	3	0	1.0
send a message <relationship_name> <message>	3	2	0.3333333333333333
send a message for my <relationship_name>	3	0	1.0
send a message <message> to <contact_name>	3	2	0.3333333333333333
send a message on <source_platform> to <contact_name>	3	1	0.6666666666666666
send a message that <message>	3	0	1.0
send a message to <contact_name> that <message>	3	1	0.6666666666666666
a message <contact_name>	2	0	1.0
ask <contact_name> that <message>	2	0	1.0
ask <contact_name> to <message>	2	1	0.5
ask meeting back to tell my <order_ref> meeting <message>	2	2	0.0
can you send a text message to <relationship_name>	2	1	0.5
can you send messages via <source_platform>	2	0	1.0
can you tell <contact_name> to <message>	2	0	1.0
can you text <contact_name> for me	2	0	1.0
can you text <contact_name> that <message>	2	0	1.0
can you text my <relationship_name> and tell her <message>	2	0	1.0
cortana can you message <contact_name>	2	0	1.0
cortana let <contact_name> know that <message>	2	0	1.0
cortana message to <contact_name>	2	0	1.0
cortana please text <contact_name>	2	0	1.0
cortana send a message to <contact_name> for me	2	2	0.0
cortana send a message to my <order_ref> meeting that <message>	2	1	0.5
cortana send a message to the <contact_name>	2	1	0.5
cortana send a text message to <contact_name>	2	0	1.0
cortana send <contact_name> a message that <message>	2	0	1.0
cortana send <contact_name> <message>	2	1	0.5
cortana send message to <relationship_name> <message>	2	1	0.5
cortana send message to my meeting at <time>	2	0	1.0
cortana send message to <contact_name> to <message>	2	0	1.0
cortana send text message to <contact_name>	2	0	1.0
cortana send text to <contact_name>	2	0	1.0
cortana send this message to <contact_name>	2	1	0.5
cortana tell my <order_ref> meeting, <message>	2	0	1.0
cortana tell <contact_name> that <message>	2	0	1.0
cortana text <contact_name> please	2	0	1.0
cortana, would you please let <contact_name> know that <message>	2	0	1.0
cortina send a message to <contact_name>	2	0	1.0
could you message my <relationship_name>	2	0	1.0
could you please text <contact_name>	2	0	1.0
hello cortana send a message to <contact_name>	2	0	1.0
hey cortana message everyone on the <time> meeting. <message>	2	0	1.0
hey cortana message my <meeting_title> meeting	2	2	0.0
hey cortana message my <time> o'clock meeting that <message>	2	0	1.0
hey cortana message my meeting. <message>	2	0	1.0
hey cortana message my <order_ref> meeting <message>	2	0	1.0
hey cortana send a <contact_name> a message	2	0	1.0
hey cortana text my <order_ref> meeting that <message>	2	0	1.0
hey cortana, send a message to my meeting at <time>	2	0	1.0
hey cortana, send a message to my meeting <message>	2	1	0.5
hey cortana, send a message to my meeting that <message>	2	0	1.0
hey cortana, send a message to my <order_ref> meeting, <message>	2	0	1.0
hey cortana, send message to my <time> o&apos;clock meeting that <message>	2	0	1.0
hey cortana, send message to my meeting that <message>	2	0	1.0
hey cortana, send message to my <order_ref> meeting that this is <order_ref> meeting message	2	2	0.0
hey cortana. send message to <contact_name> asking <message>	2	0	1.0
hey+cortana send message to <contact_name>	2	0	1.0
i wanna send a message to <contact_name>	2	0	1.0
i want to send a message to <contact_name>	2	0	1.0
<message>	2	1	0.5
<contact_name> text <contact_name>	2	2	0.0
just tell my <relationship_name> <message>	2	1	0.5
leave a note for <contact_name> that <message>	2	2	0.0
<contact_name> the message	2	0	1.0
message <contact_name> in	2	0	1.0
message by <time> meeting	2	1	0.5
message <relationship_name> and	2	0	1.0
message <contact_name> with	2	0	1.0
message <contact_name> say	2	0	1.0
message everyone on my <time> meeting, <message>	2	0	1.0
message everyone on my <time> meeting. <message>	2	0	1.0
message everyone on my <time> meeting <message>	2	1	0.5
message everyone on <meeting_title> meeting	2	0	1.0
message everyone on <meeting_title> meeting that <message>	2	1	0.5
message everyone on the <time> meeting	2	0	1.0
message everyone on the <order_ref> meeting that <message>	2	0	1.0
message everyone on the <order_ref> meeting, <message>	2	0	1.0
message <contact_name> on my <time> meeting	2	2	0.0
message my <time> o'clock meeting <message>	2	0	1.0
message my <time> o&apos;clock meeting that this is <time> o&apos;clock meeting message	2	2	0.0
message my <time> o&apos;clock meeting, <message>	2	0	1.0
message my <time> meeting that	2	0	1.0
message my <time> meeting, <message>	2	0	1.0
message my <relationship_name>	2	1	0.5
message <meeting_title> meeting. <message>	2	0	1.0
message my meeting <time>	2	0	1.0
message my <meeting_title> meeting that <message>	2	2	0.0
message <order_ref> meeting that <message>	2	0	1.0
message on <source_platform>	2	0	1.0
message that <contact_name>	2	0	1.0
message that <message>	2	0	1.0
message the <contact_name>	2	1	0.5
message to <destination_platform>	2	0	1.0
message to <contact_name> to	2	0	1.0
message to <meeting_title> meeting	2	2	0.0
message to <contact_name> saying <message>	2	0	1.0
message, <contact_name>	2	0	1.0
message. <message>	2	2	0.0
message. <contact_name>	2	0	1.0
message. my meeting <message>	2	0	1.0
messaging my <order_ref> meeting that <message>	2	2	0.0
my meeting that <message>	2	2	0.0
<order_ref> meeting message	2	0	1.0
open <source_platform> and send a message to <contact_name>	2	1	0.5
pii:scrubbed:[latency:1]:text <contact_name> and tell her <message>	2	2	0.0
pii:scrubbed:[latency:2]:message everyone in my <order_ref> meeting that <message>	2	2	0.0
pii:scrubbed:[latency:2]:message everyone on my <time> meeting that <message>	2	2	0.0
pii:scrubbed:[latency:2]:message my <order_ref> meeting that <message>	2	2	0.0
please send text to <contact_name>	2	0	1.0
please tell my <relationship_name> that <message>	2	0	1.0
reply to <contact_name> text	2	0	1.0
say <message> <contact_name>	2	2	0.0
say <message>	2	2	0.0
say <contact_name> <message>	2	2	0.0
send a message from <source_platform>	2	2	0.0
send a message from <from_contact_name>	2	0	1.0
send a message from my <from_relationship_name>	2	1	0.5
send a message message to <relationship_name>	2	0	1.0
send a message message to <contact_name>	2	0	1.0
send a message my <relationship_name>	2	0	1.0
send a message <contact_name> saying <message>	2	0	1.0
send a message through <source_platform>	2	1	0.5
send a message to <time> meeting	2	0	1.0
send a message to a <contact_name>	2	0	1.0
send a message to <contact_name> say	2	2	0.0
send a message to <contact_name> saying <message>	2	1	0.5
send a message to <contact_name> on <source_platform>	2	0	1.0
send a message to <contact_name> and	2	0	1.0
10 send a message to	1	0	1.0
<time> o&apos;clock meeting that <message>	1	1	0.0
<message> message	1	0	1.0
<time> o'clock meeting that <message>	1	1	0.0
a can you send a message for me	1	0	1.0
a message my <order_ref> meeting	1	1	0.0
a message to <relationship_name>	1	0	1.0
a message to my <time> meeting	1	0	1.0
a send a message	1	0	1.0
a tell my <relationship_name> <message>	1	0	1.0
a text to <relationship_name>	1	0	1.0
abc text	1	0	1.0
abc.text	1	1	0.0
according to station that's called we strike back on a message case	1	1	0.0
add a lunch message	1	0	1.0
add cortana message please	1	1	0.0
add hey cortana send him a message	1	0	1.0
add look for text david message to to source what is the oven i would	1	1	0.0
add text <contact_name>	1	0	1.0
alexa ask cortana to tell my team <message>	1	1	0.0
alexa text <contact_name>	1	0	1.0
alright hey cortana send a message to	1	0	1.0
alright send text	1	0	1.0
am late for the text <contact_name>	1	1	0.0
and i&apos;m send a message to my <time> meeting	1	0	1.0
and it didn't work. send a message to <contact_name>	1	1	0.0
and message everyone on my <time> meeting that <message>	1	0	1.0
and message to my <order_ref> meeting	1	1	0.0
and <contact_name> <destination_platform> a text message asking <message>	1	0	1.0
and text <contact_name>	1	0	1.0
and the message	1	0	1.0
ansari message <contact_name>	1	1	0.0
are you able to send texts	1	1	0.0
are you cortana send a message	1	0	1.0
are you could you send message	1	1	0.0
ask butler assistant to go to previous slide	1	1	0.0
ask <relationship_name> down <message>	1	0	1.0
ask dia dev hi cortana	1	1	0.0
ask me a meeting for tomorrow	1	1	0.0
ask meeting about to tell my <order_ref> meeting <message>	1	1	0.0
ask meeting but to let my meeting know i'm running late	1	1	0.0
ask meeting but to tell my <order_ref> meeting <message>	1	1	0.0
ask meeting by to tell my <order_ref> meeting <message>	1	1	0.0
ask <contact_name> about <message>	1	1	0.0
ask microsoft that i'm running late for my next meeting at the next meeting and the next meeting	1	1	0.0
ask my <relationship_name> to <message>	1	1	0.0
ask previous test before my briefing	1	1	0.0
ask text around	1	1	0.0
b**** text <contact_name>	1	0	1.0
be cortana send message	1	0	1.0
block the person i recently met message	1	1	0.0
bo send message to <contact_name>	1	1	0.0
<relationship_name> text <contact_name>	1	0	1.0
but i message everyone on my <order_ref> meeting	1	1	0.0
but i will send a message	1	1	0.0
but tell my <order_ref> meeting <message>	1	1	0.0
call me a text my <relationship_name>	1	0	1.0
calling about the meeting number <phone_number>	1	1	0.0
can can you send a text	1	0	1.0
can can you send a text message	1	0	1.0
can can you send a text message for me	1	0	1.0
can i get you to send text message for me	1	0	1.0
can i message my <relationship_name>	1	0	1.0
can i message <contact_name>	1	1	0.0
can i schedule a text to be sent later	1	1	0.0
can i send a message from the <source_platform>	1	0	1.0
can i send a text message	1	0	1.0
can i send a text message with	1	0	1.0
can i send a text to	1	0	1.0
can i take text <contact_name> please	1	1	0.0
can i talk to send a message on <source_platform>	1	1	0.0
can i text <contact_name>	1	0	1.0
can i text message someone	1	0	1.0
can i text my <relationship_name>	1	1	0.0
can i text <contact_name> please	1	0	1.0
can we send a message	1	0	1.0
can you a send a message	1	0	1.0
can you a text message	1	1	0.0
can you a text to	1	1	0.0
can you answer my text messages	1	1	0.0
can you bring up 10 text for me	1	1	0.0
can you can you send a message for me	1	0	1.0
can you can you send a message to	1	0	1.0
can you can you send a text	1	0	1.0
can you can you send a text message	1	0	1.0
can you can you send me a message	1	0	1.0
can you can you text for me	1	0	1.0
can you can you text someone for me	1	0	1.0
can you do a text to	1	0	1.0
can you get can you send a message to	1	0	1.0
can you go text <contact_name> <message>	1	0	1.0
can you have a text message	1	1	0.0
can you help me text my <relationship_name>	1	1	0.0
can you help me to send a text message	1	1	0.0
can you inform the attendees of my <time> appointment that <message>	1	1	0.0
can you make a message to <contact_name>	1	0	1.0
can you message for me	1	0	1.0
can you message <contact_name> <message>	1	0	1.0
can you message my <contact_name> that <message>	1	0	1.0
can you message my <relationship_name> please	1	0	1.0
can you open messenger in send <contact_name> a message saying <message>	1	1	0.0
can you pass a message to <contact_name>	1	0	1.0
can you please help me to send a text message	1	0	1.0
can you please message <contact_name>	1	0	1.0
can you please send a message back to him that <message>	1	1	0.0
can you please send a message to <relationship_name>	1	0	1.0
can you please send a message to my meeting with <contact_name>	1	0	1.0
can you please send a message to my meeting with nearly	1	1	0.0
can you please send a message to <contact_name>	1	0	1.0
can you please send a text	1	0	1.0
can you please send a text message to	1	0	1.0
can you please send a text message to <contact_name>	1	1	0.0
can you please send a text please	1	0	1.0
can you please send <contact_name> a text good morning <contact_name>	1	1	0.0
can you please text <contact_name> that <message>	1	0	1.0
can you please text <contact_name>	1	0	1.0
can you receive a text message	1	0	1.0
can you say it send a message	1	0	1.0
can you say send a message	1	0	1.0
can you send a a text message	1	0	1.0
can you send a message again	1	0	1.0
can you send a message by	1	0	1.0
can you send a message by <source_platform>	1	0	1.0
can you send a message for	1	0	1.0
can you send a message for me	1	0	1.0
can you send a message for me on	1	0	1.0
can you send a message for my <relationship_name>	1	0	1.0
can you send a message for my <relationship_name> please	1	0	1.0
can you send a message from	1	0	1.0
can you send a message on <source_platform>	1	0	1.0
can you send a message through <source_platform>	1	0	1.0
can you send a message to a	1	0	1.0
can you send a message to <contact_name> telling him that <message>	1	0	1.0
can you send a message to <destination_platform>	1	0	1.0
can you send a message to for me	1	0	1.0
can you send a message to make an	1	0	1.0
can you send a message to me	1	0	1.0
can you send a message to meeting	1	0	1.0
can you send a message to my <relationship_name>	1	0	1.0
can you send a message to my <relationship_name> saying <message>	1	1	0.0
can you send a message to <contact_name> for me	1	1	0.0
can you send a message to my <relationship_name> please	1	0	1.0
can you send a message to <contact_name> that <message>	1	0	1.0
can you send a message to somebody	1	0	1.0
can you send a message using <source_platform>	1	0	1.0
can you send a message with	1	0	1.0
can you send a message you	1	1	0.0
can you send a send a text message	1	0	1.0
can you send a text do	1	1	0.0
can you send a text from <source_platform>	1	0	1.0
can you send a text from my <source_platform>	1	0	1.0
can you send a text message for	1	0	1.0
can you send a text message for me please	1	0	1.0
can you send a text message from	1	0	1.0
can you send a text message please	1	0	1.0
can you send a text message through <source_platform>	1	0	1.0
can you send a text message to	1	0	1.0
can you send a text message to me	1	0	1.0
can you send a text message to <relationship_name> <destination_platform> for me	1	0	1.0
can you send a text message to <relationship_name> <destination_platform>	1	0	1.0
can you send a text message to my <relationship_name> <destination_platform>	1	0	1.0
can you send a text message to <contact_name> for me	1	0	1.0
can you send a text message using	1	0	1.0
can you send a text message with	1	0	1.0
can you send a text messages	1	0	1.0
can you send a text on	1	0	1.0
can you send a text through messages	1	0	1.0
can you send a text to message	1	0	1.0
can you send a text to <relationship_name>	1	0	1.0
can you send a text using <source_platform>	1	0	1.0
can you send a <source_platform> message to <contact_name>	1	0	1.0
can you send an a text message	1	0	1.0
can you send an can you send a text message	1	0	1.0
can you send an message	1	0	1.0
can you send an <source_platform>	1	1	0.0
can you send an text message	1	0	1.0
can you send can you send a text	1	0	1.0
can you send can you send a text message	1	0	1.0
can you send <source_platform> message	1	1	0.0
can you send <contact_name> for for a <message> message <time>	1	1	0.0
can you send <contact_name> a text for me	1	0	1.0
can you send <contact_name> a message for me	1	0	1.0
can you send me a <message> message <time>	1	1	0.0
can you send me a message	1	0	1.0
can you send me a message for me	1	0	1.0
can you send me a message to	1	0	1.0
can you send me a text message for me	1	1	0.0
can you send <contact_name> message	1	0	1.0
can you send message for me	1	0	1.0
can you send message from <source_platform>	1	0	1.0
can you send message through <source_platform>	1	0	1.0
can you send message to	1	0	1.0
can you send message to my <relationship_name>	1	0	1.0
can you send messages from <source_platform>	1	0	1.0
can you send messages in <source_platform>	1	0	1.0
can you send messages over <source_platform>	1	0	1.0
can you send messages through <source_platform>	1	1	0.0
can you send messages to	1	0	1.0
can you send messages with <source_platform>	1	1	0.0
can you send <contact_name> a message on <source_platform>	1	1	0.0
can you send my <relationship_name> message	1	0	1.0
can you send my <relationship_name> a message for me	1	0	1.0
can you send out a <source_platform> message	1	0	1.0
can you send out a message	1	0	1.0
can you send out a text	1	0	1.0
can you send out a text for me	1	0	1.0
can you send out a text message	1	0	1.0
can you send out a text message for me	1	0	1.0
can you send some message on <source_platform>	1	0	1.0
can you send <contact_name> a text	1	0	1.0
can you send text message	1	0	1.0
can you send text messages for me	1	0	1.0
can you send text messages with	1	1	0.0
can you send text messages you	1	0	1.0
can you send text on my <source_platform>	1	1	0.0
can you send that message through <source_platform>	1	0	1.0
can you send that message to <contact_name>	1	1	0.0
can you send you a message	1	0	1.0
can you send yourself a message	1	0	1.0
can you sent a message	1	0	1.0
can you sent a message to <contact_name>	1	0	1.0
can you sent me a message	1	0	1.0
can you take a text message	1	0	1.0
can you tell can you message	1	0	1.0
can you tell <relationship_name> <message>	1	0	1.0
can you tell my <relationship_name> please	1	0	1.0
can you text a <relationship_name> for me	1	0	1.0
can you text a message to	1	0	1.0
can you text and	1	0	1.0
can you text can you message saying <message>	1	0	1.0
can you text can you text <relationship_name>	1	0	1.0
can you text <relationship_name> please	1	0	1.0
can you text <contact_name> a message	1	0	1.0
can you text <contact_name> and tell her <message>	1	0	1.0
can you text him for me	1	0	1.0
can you text him for me please	1	0	1.0
can you text <contact_name> and tell him	1	0	1.0
can you text message <contact_name>	1	0	1.0
can you text message <message>	1	0	1.0
can you text message oh	1	1	0.0
can you text message somebody	1	0	1.0
can you text message with	1	0	1.0
can you text my <relationship_name> for me	1	0	1.0
can you text my <relationship_name>	1	1	0.0
can you text my <relationship_name> saying	1	0	1.0
can you text my <relationship_name> for me please	1	0	1.0
can you text my <relationship_name> say	1	0	1.0
can you text my <relationship_name> <message>	1	0	1.0
can you text my <relationship_name> please	1	0	1.0
can you text my <destination_platform> <message>	1	0	1.0
can you text my <relationship_name> and said <message>	1	0	1.0
can you text my <relationship_name> <contact_name>	1	0	1.0
can you text my <relationship_name> saying <message>	1	0	1.0
can you text my <relationship_name> that <message>	1	0	1.0
can you text on <source_platform>	1	0	1.0
can you text <contact_name> to <message>	1	1	0.0
can you text some message	1	1	0.0
can you text that <message>	1	0	1.0
can you text the girl	1	1	0.0
can you text to <contact_name>	1	1	0.0
can you text what i am saying	1	0	1.0
can you text what i&apos;m saying	1	1	0.0
can you type a message in <source_platform> for me	1	0	1.0
can you type a message on	1	0	1.0
can you write a message for me on <source_platform>	1	0	1.0
can you write message for me	1	0	1.0
can you you text	1	0	1.0
cash out text cash out to s	1	1	0.0
cenarrusa it&apos;s a message	1	1	0.0
cendres omega a message	1	1	0.0
change my <meeting_title> meeting that <message>	1	1	0.0
check my meeting message to <contact_name>	1	0	1.0
chrissy message	1	1	0.0
chytrid whatsapp message of beriani	1	1	0.0
compare message to <contact_name>	1	0	1.0
compose a message to	1	0	1.0
confirm send sms to <phone_number> <message>	1	0	1.0
contact members <contact_name> <message>	1	1	0.0
contract send message	1	0	1.0
cortana can we text <contact_name>	1	0	1.0
cortana can you message my <relationship_name> <contact_name>	1	0	1.0
cortana can you please send <contact_name> message	1	0	1.0
cortana can you please send message to the all	1	0	1.0
cortana can you please tell <contact_name> to me	1	0	1.0
cortana can you send a message to <contact_name> via <source_platform>	1	1	0.0
cortana can you send a minute	1	0	1.0
cortana can you send a text to my <relationship_name>	1	0	1.0
cortana can you send a text to <contact_name>	1	0	1.0
cortana can you send this to <contact_name>	1	0	1.0
cortana can you tell <contact_name> to <message>	1	0	1.0
cortana can you tell <contact_name> <message>	1	0	1.0
cortana can you text <contact_name> and tell her to <message>	1	0	1.0
cortana cortana send a message to <contact_name> <message>	1	0	1.0
cortana could you send a message to <contact_name>	1	0	1.0
cortana could you send message <contact_name> please	1	0	1.0
cortana do you send a message	1	0	1.0
cortana get my <relationship_name> to <message>	1	1	0.0
cortana go to <source_platform> and message <relationship_name>	1	1	0.0
cortana hey cortana message	1	0	1.0
cortana i want to send a message to <contact_name>	1	0	1.0
cortana i want you to put in send a message to <contact_name>	1	0	1.0
cortana i&apos;m running late	1	1	0.0
cortana let everyone in the meeting know that <message>	1	1	0.0
cortana let my <order_ref> meeting know that <message>	1	0	1.0
cortana let the <contact_name> know that <message>	1	1	0.0
cortana let&apos;s send <contact_name> message	1	0	1.0
cortana message by	1	1	0.0
cortana message <contact_name> tell him to <message>	1	0	1.0
cortana message everybody	1	0	1.0
cortana message everyone a meeting	1	0	1.0
cortana message everyone on a meeting	1	0	1.0
cortana message in my <order_ref> meeting	1	1	0.0
cortana message my <time> meeting. <message>	1	0	1.0
cortana message my meeting that <message>	1	0	1.0
cortana message my <order_ref> meeting <message>	1	0	1.0
cortana message my <order_ref> meeting that	1	1	0.0
cortana message my <order_ref> meeting that <message>	1	0	1.0
cortana message my <destination_platform>	1	0	1.0
cortana message send a message to miller on ts	1	1	0.0
cortana message the meeting that <message>	1	0	1.0
cortana message the meeting with <contact_name> <time>	1	0	1.0
cortana message. <message>	1	0	1.0
cortana message. <message> to my <order_ref> meeting	1	1	0.0
cortana open message to <contact_name>	1	0	1.0
cortana open <source_platform> and text my <contact_name> <message>	1	1	0.0
cortana please send a message to <contact_name> saying <message>	1	0	1.0
cortana please send a message to someone	1	0	1.0
cortana please send a text to my <relationship_name>	1	0	1.0
cortana please send <contact_name> this message	1	1	0.0
cortana please send message to <contact_name> <message>	1	0	1.0
cortana please send <message>	1	1	0.0
cortana say <message> to message	1	0	1.0
cortana say send <contact_name> a message	1	0	1.0
cortana schedule a text message	1	0	1.0
cortana send a message for	1	0	1.0
cortana send a message for <contact_name>	1	0	1.0
cortana send a message from <source_platform>	1	0	1.0
cortana send a message on	1	0	1.0
cortana send a message to <phone_number>	1	0	1.0
cortana send a message to a	1	0	1.0
cortana send a message to <contact_name> . send. <message>	1	1	0.0
cortana send a message to <message>	1	0	1.0
cortana send a message to my contacts	1	1	0.0
cortana send a message to my meeting at <time>	1	1	0.0
cortana send a message to my meeting that <message>	1	0	1.0
cortana send a message to my <order_ref> meeting with was	1	1	0.0
cortana send a message to my <order_ref> meeting, telling them that <message>	1	0	1.0
cortana send a message to my <order_ref> meeting, <message>	1	1	0.0
cortana send a message to <contact_name> . tell her that <message>	1	0	1.0
cortana send a message to <contact_name> saying	1	0	1.0
cortana send a message to say <message>	1	1	0.0
cortana send a message to <contact_name> and i do	1	0	1.0
cortana send a message to the <time> meeting	1	0	1.0
cortana send a message to <contact_name> that	1	0	1.0
cortana send a message to <contact_name> saying <message>	1	1	0.0
cortana send a text to my <relationship_name> <message>	1	0	1.0
cortana send <contact_name> a message saying <message>	1	0	1.0
cortana send <contact_name> <source_platform> message	1	0	1.0
cortana send danny	1	1	0.0
cortana send <contact_name> a message saying	1	0	1.0
cortana send <contact_name> a text tell her <message>	1	0	1.0
cortana send jay be on a message	1	1	0.0
cortana send me a message for my <relationship_name>	1	1	0.0
cortana send message message to <contact_name>	1	0	1.0
cortana send message say <message>	1	0	1.0
cortana send message to <contact_name> to meeting	1	1	0.0
cortana send message to <meeting_title> meeting	1	1	0.0
cortana send message to <contact_name> to <contact_name>	1	0	1.0
